gid2019,age_19
5,42.77
51,43.1
5111,41.59
5112,42.05
5113,42.61
5114,43.18
5116,42.78
5117,44.01
5119,43.44
5120,43.36
5122,43.07
5124,42.11
5154,43.04
5154004,43.54
5154008,43.06
5154012,43.58
5154016,42.74
5154020,44.98
5154024,42.91
5154028,44.3
5154032,42.71
5154036,41.69
5154040,43.3
5154044,44.15
5154048,45.38
5154052,42.74
5154056,43.19
5154060,43.62
5154064,41.7
5158,44.5
5158004,45.34
5158008,45.23
5158012,44.3
5158016,45.48
5158020,44.35
5158024,43.64
5158026,43.44
5158028,44.99
5158032,43.56
5158036,44.96
5162,43.57
5162004,43.78
5162008,43.1
5162012,43.98
5162016,45.27
5162020,44.87
5162022,44.33
5162024,42.62
5162028,42.89
5166,44.26
5166004,45.09
5166008,45.37
5166012,44.99
5166016,43.75
5166020,44
5166024,43.78
5166028,45.23
5166032,43.63
5166036,44.29
5170,44.67
5170004,45.48
5170008,44.91
5170012,44.06
5170016,46.79
5170020,43.36
5170024,44.49
5170028,44.94
5170032,44.44
5170036,46
5170040,44.4
5170044,45.03
5170048,44.25
5170052,45.82
53,42.28
5313,#DIV/0!
5314,40.16
5315,40.66
5316,43.08
5334,41.88
5334002,39.82
5334004,43.04
5334008,42.34
5334012,43.22
5334016,44.26
5334020,45.97
5334024,43.92
5334028,44.65
5334032,43.48
5334036,43.5
5358,43.2
5358004,42.2
5358008,42.15
5358012,47.36
5358016,44.43
5358020,42.31
5358024,43.07
5358028,45.53
5358032,43.9
5358036,44.73
5358040,43.89
5358044,45.15
5358048,42.66
5358052,43.16
5358056,43.84
5358060,43.06
5362,43.14
5362004,43.55
5362008,42.28
5362012,43.79
5362016,42.68
5362020,45.01
5362024,43.32
5362028,41.81
5362032,42.18
5362036,44.97
5362040,42.25
5366,43.7
5366004,46.17
5366008,45.53
5366012,44.54
5366016,42.65
5366020,46.21
5366024,43.82
5366028,43.34
5366032,44.79
5366036,44.56
5366040,42.46
5366044,43.29
5370,43.34
5370004,43.72
5370008,42.71
5370012,42.61
5370016,43.15
5370020,42.33
5370024,43.94
5370028,43.38
5370032,44.19
5370036,43.32
5370040,44.98
5374,43.08
5374004,42.75
5374008,44.27
5374012,42.24
5374016,44.3
5374020,43.52
5374024,41.7
5374028,44.13
5374032,42.72
5374036,44.79
5374040,42.59
5374044,40.63
5374048,44.31
5374052,43.2
5378,44.4
5378004,44.66
5378008,43.28
5378012,43.81
5378016,45.14
5378020,45
5378024,43.83
5378028,43.69
5378032,44.68
5382,43.2
5382004,42.52
5382008,44.67
5382012,42.67
5382016,43.95
5382020,42.48
5382024,44.13
5382028,43.48
5382032,45.05
5382036,43.58
5382040,44.83
5382044,42.71
5382048,43.91
5382052,42.52
5382056,43.31
5382060,41.76
5382064,43.33
5382068,42.3
5382072,43.22
5382076,44.28
55,42.56
5512,43.98
5513,42.03
5515,39.85
5554,41.91
5554004,40.81
5554008,43.09
5554012,42.59
5554016,42.49
5554020,40.65
5554024,40.19
5554028,42.56
5554032,42.86
5554036,39.76
5554040,42.83
5554044,43
5554048,42.32
5554052,41.25
5554056,40.93
5554060,41.91
5554064,41.73
5554068,41.36
5558,43.16
5558004,42.32
5558008,43.33
5558012,42.99
5558016,43.38
5558020,44.09
5558024,43.07
5558028,43.78
5558032,42.57
5558036,45.01
5558040,41.81
5558044,42.89
5562,44.06
5562004,44.18
5562008,44.18
5562012,44.75
5562014,42.54
5562016,44.76
5562020,44.11
5562024,44.15
5562028,43.59
5562032,44.04
5562036,45.18
5566,42.34
5566004,41.89
5566008,42.83
5566012,42.27
5566016,41.14
5566020,40.64
5566024,42.9
5566028,42.27
5566032,43.73
5566036,42.38
5566040,43.3
5566044,43.57
5566048,42.22
5566052,42.32
5566056,42.95
5566060,42.26
5566064,42.35
5566068,40.78
5566072,41.86
5566076,42.59
5566080,41.08
5566084,42.18
5566088,44.3
5566092,42.67
5566096,40.99
5570,42.93
5570004,42.49
5570008,43.25
5570012,41.24
5570016,42.76
5570020,43.72
5570024,43.2
5570028,43.59
5570032,40.9
5570036,41.51
5570040,42.88
5570044,43.39
5570048,43.56
5570052,43.28
57,42.43
5711,41.28
5754,42.11
5754004,42.4
5754008,42.05
5754012,43.36
5754016,40.55
5754020,42.17
5754024,42.05
5754028,42.17
5754032,41.42
5754036,42.14
5754040,43.18
5754044,41.55
5754048,42.05
5754052,44.24
5758,43.43
5758004,43.77
5758008,43.15
5758012,42.37
5758016,44.25
5758020,43.34
5758024,43.56
5758028,43.2
5758032,44.73
5758036,44.83
5762,44.03
5762004,44.3
5762008,45.49
5762012,44.38
5762016,43.05
5762020,44.69
5762024,44.29
5762028,43.86
5762032,43.7
5762036,43.57
5762040,42.02
5766,43.11
5766004,37.68
5766008,44.03
5766012,43.71
5766016,43.49
5766020,42.56
5766024,44.08
5766028,45.29
5766032,44.09
5766036,43.99
5766040,41.88
5766044,43.09
5766048,42.52
5766052,44.83
5766056,43.54
5766060,44.01
5766064,42.88
5770,43.14
5770004,43.54
5770008,40.63
5770012,44.36
5770016,42.33
5770020,43.15
5770024,42.66
5770028,44.64
5770032,43.78
5770036,43.16
5770040,43.21
5770044,44.1
5774,41
5774004,42.57
5774008,43
5774012,41.81
5774016,42.36
5774020,41.31
5774024,41.77
5774028,42.5
5774032,40.03
5774036,41.57
5774040,41.61
59,43.23
5911,43.02
5913,42.07
5914,42.86
5915,42.21
5916,43.03
5954,44.63
5954004,44.55
5954008,44.07
5954012,44.45
5954016,45.41
5954020,46.28
5954024,43.97
5954028,46.11
5954032,44.26
5954036,43.97
5958,43.85
5958004,43.86
5958008,43.72
5958012,44.04
5958016,42.66
5958020,43.43
5958024,45.13
5958028,43.62
5958032,43.67
5958036,43.58
5958040,43.35
5958044,43.69
5958048,44.7
5962,43.7
5962004,44.99
5962008,43.96
5962012,43.8
5962016,43.92
5962020,45.7
5962024,43.84
5962028,41.77
5962032,43.3
5962036,42.7
5962040,44.6
5962044,43.31
5962048,43.39
5962052,43.64
5962056,44.71
5962060,42.09
5966,42.93
5966004,42.78
5966008,42.56
5966012,42.2
5966016,43.34
5966020,43.37
5966024,43.5
5966028,42.46
5970,43.02
5970004,44.5
5970008,42.27
5970012,44.47
5970016,43.95
5970020,44.51
5970024,42.74
5970028,44.43
5970032,43.62
5970036,44.03
5970040,41.77
5970044,44.26
5974,43.27
5974004,42.61
5974008,47.68
5974012,43.23
5974016,44.01
5974020,41.37
5974024,43.11
5974028,42.9
5974032,43.93
5974036,43.07
5974040,42.45
5974044,45.44
5974048,44.28
5974052,42.92
5974056,42.41
5978,44.04
5978004,42.88
5978008,43.1
5978012,44.93
5978016,45.28
5978020,44.55
5978024,43.24
5978028,44.92
5978032,44.01
5978036,44.27
5978040,44.96